,pvalue,padj,log2FoldChange
CTD-2553L13.7,1.8456E-03,2.4772E-02,-0.7269
PIN1,1.8511E-03,2.4825E-02,0.7660
MANEA-AS1,1.8637E-03,2.4913E-02,-0.6123
TMEM2,1.8757E-03,2.4959E-02,-0.6634
NOMO2,1.8858E-03,2.5024E-02,0.4905
SNURF,1.9066E-03,2.5178E-02,-0.4714
CLDN10,1.9206E-03,2.5342E-02,0.7294
SORD,1.9378E-03,2.5447E-02,0.4481
DMBT1,1.9574E-03,2.5642E-02,-1.1623
RAP1GAP,1.9610E-03,2.5669E-02,0.7865
RP11-692D12.1,2.0018E-03,2.6036E-02,-0.7047
,,,
