,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
NOL3,8.6645E-06,2.0814E-03,-1.0999,6.9897E-04,-0.7598,3.4639E-03,-1.4400
PDLIM7,8.8874E-06,2.1080E-03,-1.6925,4.2143E-03,-1.0585,1.7129E-06,-2.3264
RFC3,9.5096E-06,2.1806E-03,1.4982,1.1790E-05,0.9805,4.3493E-03,2.0160
1-Mar,9.8913E-06,2.2239E-03,1.1722,4.4178E-03,0.4955,2.9926E-05,1.8489
OR13E1P,9.9913E-06,2.2351E-03,3.1191,2.6902E-03,0.5412,1.7800E-03,5.6969
PLXDC1,1.1169E-05,2.3632E-03,0.7769,4.1534E-04,0.6449,4.3110E-03,0.9089
DRAXIN,1.2034E-05,2.4529E-03,2.0881,8.1870E-11,1.2235,4.9058E-03,2.9528
TECTA,1.2190E-05,2.4688E-03,1.0593,1.6454E-04,0.7864,4.7731E-03,1.3322
RP11-220I1.1,1.2312E-05,2.4811E-03,0.9484,1.1436E-03,0.4570,3.8186E-03,1.4398
VHL,1.2807E-05,2.5305E-03,1.1410,1.2774E-09,0.5268,5.0610E-03,1.7552
TRIO,1.3066E-05,2.5560E-03,0.8257,2.3771E-04,0.4141,4.8743E-03,1.2373
FBXL21,1.3616E-05,2.6092E-03,2.8781,2.9993E-08,1.4879,5.2184E-03,4.2682
MEF2C,1.4075E-05,2.6528E-03,1.3860,1.2499E-03,0.8693,4.0557E-03,1.9028
CLASP2,1.4215E-05,2.6660E-03,0.8377,3.9272E-03,0.4547,1.4048E-03,1.2206
UBXN2B,1.4361E-05,2.6796E-03,0.8324,2.2310E-03,0.5186,3.1283E-03,1.1462
AC007620.3,1.4497E-05,2.6923E-03,2.2457,2.1861E-15,1.0901,5.3846E-03,3.4014
SMARCA2,1.4497E-05,2.6923E-03,0.6859,1.8382E-14,0.4925,5.3846E-03,0.8793
GABRA5,1.4595E-05,2.7014E-03,1.5029,1.3174E-03,0.9569,4.0854E-03,2.0488
GULP1,1.4601E-05,2.7020E-03,1.5097,5.3793E-03,0.5892,2.4663E-05,2.4302
DNAJB5,1.5326E-05,2.7683E-03,1.7265,4.3320E-11,1.6591,5.5365E-03,1.7940
TOM1L1,1.5423E-05,2.7770E-03,1.1167,7.8887E-04,0.5751,4.7651E-03,1.6582
KIF5C,1.6174E-05,2.8437E-03,0.9256,1.6728E-12,0.8112,5.6875E-03,1.0399
CEP68,1.8220E-05,3.0183E-03,0.8267,5.8620E-03,0.3025,1.7456E-04,1.3508
GRB2,1.8714E-05,3.0589E-03,0.9711,5.9427E-03,0.3718,1.7512E-04,1.5705
AP000662.4,1.9304E-05,3.1068E-03,1.6104,1.5152E-04,0.8657,6.0620E-03,2.3552
C14orf132,1.9363E-05,3.1115E-03,0.6608,5.8434E-04,0.5315,5.6387E-03,0.7901
SKAP2,1.9416E-05,3.1157E-03,1.0008,3.1444E-03,0.5923,3.0871E-03,1.4093
NELL1,1.9681E-05,3.1370E-03,1.7068,6.1059E-03,0.7438,1.6803E-04,2.6698
EPHA4,1.9837E-05,3.1494E-03,1.3856,6.1391E-03,0.7922,1.5971E-04,1.9790
CYP4F35P,1.9881E-05,3.1529E-03,-1.7375,2.5077E-06,-1.3184,6.3032E-03,-2.1565
DPP7,2.0144E-05,3.1736E-03,-1.3751,5.6894E-03,-0.8584,6.5779E-04,-1.8917
LINC00936,2.0876E-05,3.2308E-03,1.1073,1.5830E-04,0.8224,6.3032E-03,1.3922
GMFB,2.1648E-05,3.2900E-03,0.8520,1.2338E-03,0.5813,5.3462E-03,1.1228
CCNYL1,2.1818E-05,3.3028E-03,0.9377,9.4708E-05,0.5300,6.5110E-03,1.3454
