,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
CXCL12,4.9565E-07,4.7935E-03,1.1960,2.4715E-04,1.1252,6.3180E-05,1.8552,1.4070E-02,0.6075
BEND4,5.0090E-07,4.8104E-03,1.5992,1.2549E-05,1.2004,1.6768E-03,1.9590,1.2742E-02,1.6383
MARCKS,5.2949E-07,4.9002E-03,0.7307,6.3716E-09,0.7255,2.2144E-03,1.0405,1.2486E-02,0.4262
KLHL13,5.9236E-07,5.0869E-03,1.4549,1.1849E-04,0.6399,1.3059E-04,2.3263,1.5012E-02,1.3984
LBH,6.6660E-07,5.2912E-03,1.7174,2.2915E-03,0.9460,1.2489E-03,3.0920,1.2333E-02,1.1142
DNAJA1,7.0600E-07,5.3934E-03,0.7501,2.4324E-04,0.6738,4.5715E-03,1.0826,1.1366E-02,0.4938
ERC2,7.1467E-07,5.4154E-03,1.2134,3.6625E-04,0.5508,1.3618E-03,2.1003,1.4518E-02,0.9892
IL4R,8.1894E-07,5.6669E-03,-1.6747,7.0693E-03,-1.1237,8.3170E-03,-2.2311,1.6144E-03,-1.6693
UHRF1BP1L,1.0979E-06,6.2486E-03,0.8999,4.3847E-04,0.6217,6.5018E-05,1.6336,1.8242E-02,0.4444
C2CD2,1.1001E-06,6.2528E-03,-0.8223,4.2085E-07,-0.6773,7.4285E-03,-1.3069,1.1330E-02,-0.4828
LPPR1,1.1812E-06,6.4029E-03,1.1305,3.3793E-08,1.1353,1.7026E-02,1.4422,2.1828E-03,0.8140
LARGE,1.2561E-06,6.5354E-03,0.9247,3.1038E-04,0.7231,5.5388E-03,1.6040,1.3757E-02,0.4469
PIP5K1B,1.2758E-06,6.5693E-03,1.5752,1.9653E-11,1.0925,1.0132E-06,2.4604,1.9707E-02,1.1728
HHATL,1.3848E-06,6.7513E-03,-1.3468,5.3854E-04,-0.8860,2.7357E-03,-2.2927,1.6980E-02,-0.8617
IGF1,1.7527E-06,7.3030E-03,1.8075,2.8737E-08,1.3151,1.3770E-15,3.1126,2.1909E-02,0.9947
RAPH1,1.7942E-06,7.3602E-03,1.4732,5.3344E-04,0.5932,2.0406E-02,2.8156,1.1411E-03,1.0107
OR2W3,2.0139E-06,7.6491E-03,1.8227,1.0084E-03,1.1967,1.7800E-03,2.9454,2.0159E-02,1.3259
CALN1,2.1760E-06,7.8491E-03,1.0384,1.7986E-02,0.3882,5.3460E-03,1.6825,2.1539E-04,1.0445
DCX,2.2275E-06,7.9104E-03,1.1819,1.6361E-04,0.6276,3.4106E-03,2.3166,2.0157E-02,0.6014
CHL1,2.6299E-06,8.3607E-03,0.9264,1.4802E-03,0.7172,9.1457E-04,1.4949,2.2687E-02,0.5673
WSB2,2.6334E-06,8.3645E-03,1.1714,6.7329E-09,1.0637,1.6746E-06,2.0860,2.5092E-02,0.3646
PGM2L1,3.0546E-06,8.7885E-03,1.5025,1.8545E-03,1.0017,9.3680E-04,2.1898,2.3574E-02,1.3160
TRIM67,3.4826E-06,9.1812E-03,0.9895,7.5499E-05,0.6919,1.8647E-02,1.6166,8.8213E-03,0.6602
EIF4G2,3.5964E-06,9.2801E-03,0.6182,1.0780E-06,0.4787,1.3374E-02,1.0732,1.4465E-02,0.3025
GRIN3A,3.8219E-06,9.4701E-03,1.8270,3.5416E-07,1.1530,1.0928E-06,3.4475,2.8409E-02,0.8804
LRRC4C,3.9029E-06,9.5366E-03,0.9409,6.9954E-04,0.6545,1.7266E-04,1.8457,2.7738E-02,0.3227
TTC9,4.3312E-06,9.8733E-03,1.1456,3.1914E-03,0.6693,2.4070E-03,1.8661,2.4022E-02,0.9014
NR4A2,4.4601E-06,9.9703E-03,1.4311,1.8386E-02,1.0132,2.8535E-03,1.8263,8.6719E-03,1.4538
GSG1L,4.5428E-06,1.0032E-02,1.3882,2.9395E-16,1.3974,2.6665E-02,1.2007,3.4293E-03,1.5664
ZNF385D,4.7024E-06,1.0148E-02,1.1988,2.3173E-05,0.7829,6.9626E-03,1.5704,2.3457E-02,1.2431
PTPRO,4.8731E-06,1.0269E-02,1.5210,2.5016E-04,0.7780,1.1911E-06,2.8055,3.0556E-02,0.9794
U2AF1,5.9348E-06,1.0966E-02,-0.6308,2.6073E-04,-0.5185,1.0496E-02,-0.9798,2.2143E-02,-0.3940
KLHL1,6.1069E-06,1.1071E-02,2.1109,2.6014E-06,0.8783,1.7116E-03,3.7649,3.1500E-02,1.6895
