"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","036_iF_Y","652_iF_Y","864_iF_Y","204_iF_O","680_iF_O","706_iF_O"
"SLC38A4",39.7381543072958,2.49182172018316,0.614155784470774,4.05731213999783,4.96407177707362e-05,0.0262475295212768,79.6531083873297,87.1606225197761,35.611375999645,15.2087535720456,8.3679433041233,12.4271220608551
"LUM",696.927513196008,3.03685140014544,0.750314128569823,4.04743997815154,5.17808541369999e-05,0.0264350188102856,2246.43293519402,394.727416928641,1086.14696798917,199.614890633098,46.4885739117961,208.154294519324
"MYPN",1032.14842138056,-1.45691992218442,0.362446627449952,-4.01968127675734,5.82769268285388e-05,0.0278401401273949,314.306860122977,675.2443629693,663.756480437828,1507.56769782902,1657.78254569465,1374.23258122957
"NR4A2",163.493600610977,-4.69863892358428,1.16892853137059,-4.01961180473115,5.82941130664804e-05,0.0278401401273949,7.53475349609876,9.01661612273546,19.7840977775806,16.1593006702984,104.134405562423,824.332430036725
"PCDH10",8087.69032374696,2.87666723050407,0.71713135767051,4.01135328937292,6.03716887875059e-05,0.0279313391405945,15554.9603960176,23680.6394770109,3475.07677463203,2054.13227932441,827.496615629971,2933.83639986689
"PCLO",80.7289967067996,3.85778398038169,0.964006045937857,4.00182550372757,6.28556483875136e-05,0.02819932952658,201.285557681495,211.389555766354,40.5574004440402,16.1593006702984,13.9465721735388,1.03559350507126
"HOXB9",78.3378734715448,7.90400314750357,1.98205438550715,3.98778318359876,6.66935723541392e-05,0.0290411276089127,75.3475349609876,0,392.714340884974,0,0.929771478235922,1.03559350507126
"EFEMP1",6275.89480644803,2.67072753158112,0.671415633211962,3.97775595245634,6.95687198623291e-05,0.0294275685017652,5379.81399621451,8871.34841853584,18293.3660100399,1721.44079493591,2848.81980931487,540.579809647199
"STMN2",40.8455788935399,5.96568666010373,1.51386497646441,3.94069930466085,8.12444163839445e-05,0.032439976689809,205.591131107838,2.00369247171899,33.632966221887,0.950547098252849,1.85954295647184,1.03559350507126
"DSC2",47.8169432087043,-3.70185183676138,0.944265105310827,-3.92035225694677,8.8419629938591e-05,0.032439976689809,8.61114685268429,1.0018462358595,10.8812537776693,169.197383489007,55.7862886941553,41.4237402028505
"HIST1H2BM",373.836302394245,-2.2160044022365,0.564698307710837,-3.9242270996343,8.70086283056347e-05,0.032439976689809,130.24359614685,68.1255440384457,198.830182664685,555.119505379664,324.490245904337,966.208740231488
"SYNPO2",1441.10671538456,2.45334090804554,0.626408707397482,3.91651788851778,8.98371526026456e-05,0.032439976689809,1205.5605593758,1220.24871527687,4885.68294617352,332.691484388497,382.136077554964,620.320509537686
"ANGPT1",689.250957973534,1.93176872283172,0.490212719778814,3.94067441518724,8.125284727469e-05,0.032439976689809,1046.25434260114,1466.7028892983,763.66617421461,131.175499558893,384.925391989672,342.781450178588
"HEBP1",633.196732386188,0.653021152985108,0.166414016111292,3.92407543694151,8.70634530307542e-05,0.032439976689809,775.003216741586,736.356983356729,811.148008880803,520.899809842561,501.146826769162,454.625548726284
"NR4A1",904.059900545541,-4.1017809571523,1.05362645288717,-3.89301250544017,9.90070465382508e-05,0.0344354795193086,110.86851572831,56.1033892081318,131.564250220911,60.8350142881824,1147.33800414313,3917.65022968459
"CXCL1",150.969283716369,-2.89118800697437,0.743129983171857,-3.89055491292935,0.000100015239400896,0.0344354795193086,29.0626206278095,25.0461558964874,53.4170639994675,266.153187510798,65.0840034765145,467.052670787139
"DNASE1L1",347.698385018666,0.882945119588231,0.228859165630555,3.85802822078605,0.000114305452407426,0.036940132989219,454.237996479096,466.860345910525,431.293331551256,242.389510054477,204.549725211903,286.85940090474
"TBC1D19",692.578757491977,1.00542658307713,0.261014849276139,3.85198997629997,0.000117161819958436,0.036940132989219,871.878618834285,1149.11763253084,752.784920436941,403.982516757461,508.584998595049,469.123857797282
"KAT2B",653.815707928943,1.03205071508391,0.267942390877735,3.85176347685443,0.000117270263457838,0.036940132989219,1073.16417651578,843.554530593696,718.162749326175,479.075737519436,453.72848137913,355.208572239443
"HAPLN3",251.488327643326,1.42055594514259,0.368028456107102,3.85990789997278,0.000113429768559326,0.036940132989219,514.516024447887,269.496637446204,314.567154663531,111.214010495583,146.903893561276,152.232245245476
"TOX",108.146592623441,2.2720108187796,0.595151411108155,3.81753412051763,0.000134792150320076,0.0415749538643483,138.854742999534,313.577871824022,85.0716204435964,38.021883930114,28.8229158253136,44.5305207180643
"FOXF1",115.184431903931,4.07744688690461,1.07472024374542,3.79396118258146,0.000148262862431907,0.0447965648633548,358.438987742984,261.481867559328,32.6437613330079,4.75273549126425,30.6824587817854,3.10678051521379
"FGF2",6797.6258750501,1.36616501996549,0.362266591259912,3.7711592869057,0.000162490905875163,0.0481135572296357,5969.67755562339,13238.3961606474,10177.9291016763,3147.26144231518,3722.80499885663,4529.6859911817
